epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5552,1.57786,3.57474,1.13642,0.57721,0.43951,0.4251,0.2097,1.44906,1.39002,1.07749,8.335e-05,8.335e-05,8.335e-05
2,23.4246,1.55156,1.64619,1.11284,0.96978,0.45127,0.47767,0.27427,1.37441,1.23121,1.03799,0.000181555,0.000181555,0.000181555
3,30.6007,1.46925,1.07827,1.07524,0.1948,0.65843,0.13792,0.07252,1.24888,4.73365,1.05543,0.000277779,0.000277779,0.000277779
4,36.39,1.33525,0.88648,1.03058,0.8168,0.38983,0.47576,0.23738,1.51581,1.89499,1.27064,0.000372023,0.000372023,0.000372023
5,42.8324,1.37129,0.87587,1.05339,0.47377,0.68832,0.26193,0.12257,1.31751,8.2624,1.16875,0.000464286,0.000464286,0.000464286
6,49.2618,1.27445,0.79669,0.9991,0.21006,0.5944,0.13429,0.06162,1.4477,inf,1.23462,0.000554569,0.000554569,0.000554569
7,55.3245,1.28098,0.86937,1.02347,0.00047,0.01483,0.00024,0.00017,1.31298,inf,1.18245,0.000642872,0.000642872,0.000642872
8,62.6529,1.43447,0.95251,1.11364,0.00239,0.07886,0.00132,0.00092,nan,nan,nan,0.000729194,0.000729194,0.000729194
9,69.5323,1.35089,0.99043,1.02819,0.00431,0.10428,0.00221,0.00103,2.12418,inf,4.92269,0.000813536,0.000813536,0.000813536
10,75.33,1.3058,0.80944,1.04164,0.17388,0.70363,0.26093,0.11685,1.281,5.07257,1.19627,0.000895897,0.000895897,0.000895897
11,82.0924,1.24691,0.88439,1.01914,0.24912,0.56121,0.27324,0.12271,1.3752,3.66002,1.24253,0.000976279,0.000976279,0.000976279
12,88.0867,1.44125,0.8598,1.07193,0.14987,0.55956,0.23233,0.08312,1.43539,4.70886,1.31014,0.00105468,0.00105468,0.00105468
13,94.2761,1.30977,0.82709,1.01825,0.56117,0.55438,0.55067,0.31524,1.35584,1.21975,1.2605,0.0011311,0.0011311,0.0011311
14,101.229,1.32248,0.82257,1.03716,0.51652,0.60082,0.56308,0.31722,1.35006,1.67031,1.2628,0.00120554,0.00120554,0.00120554
15,107.274,1.2897,0.77502,1.01583,0.00782,0.26177,0.00481,0.00216,1.57754,inf,1.47556,0.001278,0.001278,0.001278
16,113.675,1.27285,0.72829,1.02513,0.00907,0.10617,0.00323,0.00199,2.55573,23.636,2.57011,0.00134848,0.00134848,0.00134848
17,120.243,1.33807,0.75026,1.04809,0.69557,0.11064,0.11271,0.0506,2.52986,3.76805,1.85434,0.00140295,0.00140295,0.00140295
18,126.175,1.28529,0.7449,1.06148,0.71415,0.6396,0.66387,0.36575,1.36415,0.89028,1.15081,0.00138644,0.00138644,0.00138644
19,133.026,1.40807,0.77003,1.07584,0.70582,0.652,0.67787,0.34341,1.523,1.19289,1.22378,0.00136994,0.00136994,0.00136994
20,138.987,1.28699,0.74798,1.02703,0.79827,0.57533,0.67312,0.36697,1.20951,1.27426,1.08866,0.00135344,0.00135344,0.00135344
21,145.541,1.27714,0.71389,1.00873,0.68483,0.71398,0.70639,0.36224,1.25536,1.20436,1.11367,0.00133693,0.00133693,0.00133693
22,152.189,1.22148,0.72698,1.04825,0.75598,0.68796,0.75465,0.40778,1.27677,0.86209,1.11345,0.00132043,0.00132043,0.00132043
23,158.246,1.24234,0.76322,1.00513,0.84912,0.56717,0.74076,0.39995,1.22964,1.10054,1.11148,0.00130393,0.00130393,0.00130393
24,165.023,1.28933,0.75438,1.01755,0.72146,0.68521,0.71123,0.34811,1.29372,1.44175,1.17748,0.00128742,0.00128742,0.00128742
25,171.012,1.27548,0.7562,1.01209,0.63927,0.6982,0.67386,0.37878,1.17224,1.36284,1.10378,0.00127092,0.00127092,0.00127092
26,177.243,1.26035,0.78698,1.03858,0.90234,0.50637,0.57181,0.31694,1.29534,1.02592,1.18593,0.00125442,0.00125442,0.00125442
27,183.868,1.25088,0.70771,1.02347,0.96842,0.44494,0.5215,0.30273,1.36581,0.90278,1.20978,0.00123791,0.00123791,0.00123791
28,189.734,1.20942,0.68275,0.99011,0.91322,0.46743,0.53499,0.30389,1.35112,0.87345,1.22455,0.00122141,0.00122141,0.00122141
29,196.12,1.22935,0.70508,1.00475,0.95636,0.39831,0.45236,0.27356,1.36845,0.82501,1.22708,0.00120491,0.00120491,0.00120491
30,202.689,1.15792,0.6681,0.99462,0.67702,0.56106,0.60874,0.35328,1.34625,0.81673,1.17103,0.0011884,0.0011884,0.0011884
31,208.588,1.19486,0.6637,1.01007,0.58842,0.51181,0.56231,0.323,1.32873,0.78988,1.15266,0.0011719,0.0011719,0.0011719
32,215.43,1.17095,0.66114,1.00476,0.94523,0.66227,0.70755,0.40255,1.23071,0.86073,1.07975,0.0011554,0.0011554,0.0011554
33,221.299,1.19948,0.69379,1.02166,0.96098,0.63489,0.70525,0.42853,1.10187,0.83072,1.03728,0.00113889,0.00113889,0.00113889
34,227.917,1.12846,0.65698,0.98318,0.87837,0.64273,0.67801,0.41037,1.1977,0.82217,1.05402,0.00112239,0.00112239,0.00112239
35,234.499,1.11167,0.64032,0.97016,0.8858,0.63611,0.6866,0.42021,1.15118,0.99999,1.05158,0.00110589,0.00110589,0.00110589
36,240.367,1.07223,0.60555,0.92331,0.93732,0.63724,0.71145,0.42924,1.15341,0.88864,1.11764,0.00108938,0.00108938,0.00108938
37,247.344,1.08341,0.6171,0.96996,0.93768,0.6669,0.71367,0.45748,1.09773,0.80868,1.07046,0.00107288,0.00107288,0.00107288
